time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
1.1682,-0.507911,0.129687,-0.527292,-0.463805,0.124543,-0.447854,-0.148339,0.455886,-0.376980,0.226088,-0.270930,-0.050692,-0.531652,-0.054620,-0.075263,-0.957063,1.581242,-0.252134
1.2015,-0.576275,0.103885,-0.585953,-0.470617,0.125562,-0.413223,-0.144470,0.522182,-0.420409,0.254483,-0.259131,-0.049639,-0.529009,-0.024846,-0.096647,-0.960227,1.399776,-0.236069
1.2349,-0.641326,0.076603,-0.626403,-0.472131,0.114309,-0.391421,-0.122028,0.534894,-0.441338,0.260649,-0.264282,-0.033039,-0.519838,-0.020404,-0.092749,-0.955015,1.180735,-0.195352
1.2683,-0.679061,0.055953,-0.622548,-0.494388,0.104089,-0.379938,-0.093792,0.518501,-0.453562,0.247195,-0.274223,-0.012562,-0.512560,-0.014637,-0.046698,-0.930527,0.924087,-0.153766
1.3017,-0.692419,0.046969,-0.601609,-0.521471,0.104645,-0.372653,-0.052344,0.494042,-0.470293,0.224758,-0.279598,0.003285,-0.499743,0.009636,0.001306,-0.883572,0.664129,-0.123448
1.3350,-0.692509,0.035675,-0.563130,-0.552935,0.104606,-0.369964,-0.013330,0.482899,-0.486303,0.197510,-0.283097,0.002268,-0.489773,0.026549,-0.017455,-0.840030,0.467452,-0.105201
1.3684,-0.681261,0.048100,-0.555579,-0.554103,0.108523,-0.361625,-0.006881,0.549365,-0.534106,0.172830,-0.286652,-0.002647,-0.484284,0.044058,-0.031842,-0.866541,0.489923,-0.120079
1.4018,-0.651068,0.053111,-0.548051,-0.547115,0.134665,-0.318634,-0.000573,0.642722,-0.568085,0.148572,-0.264744,-0.011118,-0.475788,0.080170,-0.077088,-0.867503,0.585052,-0.103937
1.4352,-0.606976,0.067510,-0.540311,-0.531953,0.155300,-0.290755,-0.006122,0.766539,-0.577180,0.119466,-0.257648,-0.011619,-0.471141,0.090379,-0.113932,-0.889906,0.714661,-0.099500
1.4685,-0.535588,0.084006,-0.519725,-0.498182,0.191596,-0.250232,-0.028910,0.943761,-0.546102,0.088618,-0.241709,-0.008193,-0.465438,0.097018,-0.083124,-0.898364,0.864113,-0.155125
1.5019,-0.427288,0.109831,-0.489453,-0.416511,0.239046,-0.156021,-0.129432,1.253808,-0.476155,0.063136,-0.182133,-0.003902,-0.454125,0.126347,-0.022684,-0.866770,1.010360,-0.258598
1.5353,-0.391019,0.162076,-0.447757,-0.332239,0.291945,-0.088342,-0.397295,1.622087,-0.379618,-0.008141,-0.134416,0.006033,-0.466378,0.157839,0.044993,-0.863796,1.017439,-0.291734
