time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
1.5687,0.206633,1.010041,0.144472,-1.799928,1.000000,-0.425691,-0.004729,0.923839,-0.619610,0.008836,-0.305637,0.216309,-1.800000,0.159673,-0.208819,-0.855569,0.993555,-0.186218
1.6020,0.237516,0.898695,0.126904,-1.800000,1.000000,-0.387576,-0.078093,0.973620,-0.637930,-0.139345,-0.267792,0.262134,-1.800000,0.168370,-0.155031,-0.791520,0.934849,-0.185346
1.6354,0.182118,0.764211,0.034053,-1.800000,0.929034,-0.366391,-0.187592,0.997378,-0.614603,-0.311585,-0.258072,0.266574,-1.800000,0.089971,-0.007544,-0.707699,0.833977,-0.188956
1.6688,0.086762,0.630126,-0.078216,-1.800000,0.751831,-0.334169,-0.294026,0.972250,-0.561725,-0.541943,-0.351665,0.238489,-1.800000,-0.153129,0.283004,-0.548639,0.738164,-0.246447
1.7022,0.011687,0.562811,-0.166932,-1.800000,0.568776,-0.245136,-0.383509,0.931285,-0.494378,-0.773510,-0.522227,0.206906,-1.800000,-0.478188,0.526111,-0.270467,0.705303,-0.270768
1.7355,-0.044376,0.547467,-0.218231,-1.800000,0.434109,-0.158969,-0.496942,0.896752,-0.416276,-0.918074,-0.728579,0.186509,-1.729535,-0.615791,0.555128,-0.102843,0.712877,-0.213319
1.7689,-0.064240,0.530767,-0.203747,-1.800000,0.363210,-0.102458,-0.614934,0.876338,-0.336226,-1.086142,-0.795254,0.174014,-1.234384,-0.575951,0.539909,-0.098741,0.738264,-0.177500
1.8023,-0.053047,0.445228,-0.165182,-1.800000,0.305826,-0.098821,-0.692866,0.890572,-0.298747,-1.224936,-0.864986,0.162979,-0.827162,-0.597529,0.552428,-0.104771,0.725425,-0.142446
1.8357,-0.038328,0.413402,-0.146123,-1.800000,0.292453,-0.075900,-0.766101,0.961309,-0.305908,-1.233596,-0.935679,0.231635,-0.809762,-0.632317,0.584270,-0.076702,0.737033,-0.155906
1.8690,-0.028298,0.395957,-0.154372,-1.800000,0.273860,-0.042610,-0.825308,1.033418,-0.337643,-1.229008,-0.941460,0.254335,-0.891846,-0.696070,0.616776,-0.027096,0.748453,-0.205576
